# Session 13 pass 2 — discovery pool B1: female volleyball players (occupation Q15117302), sex female (Q6581072),
# birth year 1996-1999, with at least one public handle among Instagram (P2003) / X (P2002) / TikTok (P7085).
# Query archived at data/research/urls/poolB1.url; executed 2026-09-06. Rows transcribed verbatim (markdown
# backslash escapes removed). Duplicate Q-IDs appear where the item lists two citizenships; the Q58885490 pair
# carries two DIFFERENT dates of birth (1996-07-09 vs 1996-09-07) and is treated as a conflict, not merged.
# columns: qid|name|dob|instagram|x|tiktok|country
Q68021152|Lisanne Meis|1996-12-31|lisanne_me_|||Germany
Q69550894|Nanami Seki|1999-06-12|nanami_0612|||Japan
Q78885481|Anna Kalantatze|1997-08-13|annoula_kldz|||Georgia
Q83546604|Kathryn Plummer|1998-10-16|kathrynplummer|||United States
Q93753726|Eline Timmerman|1998-12-30|elinetimmerman|||Kingdom of the Netherlands
Q96079201|Sara Kovac|1997-09-06|sara_kovac|||Canada
Q96079670|Morgan Hentz|1998-07-27|morganhentz|||United States
Q96209152|Madeleine Gates|1998-10-30|madeleine.gates|||United States
Q96337387|Kelsey Veltman|1996-04-02|kelsey_veltman|||Canada
Q97105403|Claudia Provaroni|1998-05-14|claudiaprovaroni2.0|||Italy
Q97189709|Yasemin Güveli|1999-01-05|yaseminguvelii|||Turkey
Q97539264|Mayu Oikawa|1996-06-26|omi.oma0626|Mayu_mrlm||Japan
Q97901049|Haruka Yamashita|1996-10-14||25ymsthrk||Japan
Q98082862|Arisa Nagano|1996-09-13||aarin_03k||Japan
Q98083032|Saki Tanaka|1996-09-21||sm_912310||Japan
Q98098539|Blake Mohler|1996-12-30|blakemohler|BlakeElizabeth1|blakemohler1|United States
Q98101160|Nao Horigome|1996-06-26|naostagram0626|nao_horry||Japan
Q98101190|Mirei Wakita|1996-12-10||reei_30||Japan
Q98503302|Polina Neykova|1998-10-07|polina__neykova|||Bulgaria
Q98520060|Ioanna Kasdovasili|1997-05-13|iwannakas|||Greece
Q98704582|Emily Konstantellou|1997-05-27|emily.kon|||Greece
Q98758221|Ayaka Sugi|1996-02-14|sugi_ayaka|||Japan
Q98923948|Marijeta Runjić|1996-04-11|marijetarunjic|||Croatia
Q100454270|Yuka Onodera|1997-03-22|derayu_322|||Japan
Q101702270|Kara Bajema|1998-03-24|karabajema|karabajema||United States
Q104161884|Shelly Fanning|1997-01-08|shellyfanning|s_fanning|shellyfanningg|United States
Q104386780|Erçe Su Kasapoğlu|1996-06-06|ercesu|ercesu||Turkey
Q105388956|Darja Eržen|1997-06-20|darjaerzen16|||Slovenia
Q105395892|Kjersti Norveel|1996-03-15|kjerstinorveel|||Norway
Q105945293|Leah Edmond|1998-02-13|leahedmond13|leahedmond13||United States
Q106650672|Lisa Guillermard|1997-04-06|lisschen.g|||Germany
Q106698088|Maike Henning|1999-06-19|__maikee_|||Germany
Q106698218|Lena Hoffmann|1997-06-30|lenaahoff|||Germany
Q106994609|Miku Shimada|1998-10-11|mikurin1|||Japan
Q107113677|Jacqueline Quade|1997-12-01|jacqueline_quade|||United States
Q107364434|Layne Van Buskirk|1998-02-19|laynevanbuskirk|laynevb||Canada
Q109595794|Rimi Kaneda|1998-10-06||kiiin_rimiii||Japan
Q109596240|Moeka Kinoe|1997-12-24|c.moeka.1224|moeka_1224_2||Japan
Q110271542|Nadzeya Stoliar|1996-01-11|nadzeya_stoliar|||Belarus
Q110272575|Anastasiya Shupianiova|1999-01-28|shupe_nyova|||Belarus
Q110377543|Diana Duarte|1999-02-22|diana_duarte2|||Brazil
Q111436853|Lisa Jeanpierre|1999-07-28||lisou_jp||France
Q111584329|Tiffany Clark|1998-02-18|tclarky7|||United States
Q111648151|Taija Tikka|1998-07-27|titta_18|||Finland
Q112482208|Roxanne Wiblin|1998-12-18|rooooxie|||United States
Q112716930|Avery Skinner|1999-04-25|averyskinnerr|||United States
Q112718040|Dani Drews|1999-01-01|banidrews|||United States
Q113335589|Reka Orsi Toth|1999-02-12|rekaorsitoth|||Italy
Q113974075|Monika Chrtianska|1996-01-01|monichristl|||Slovakia
Q114018805|Alli Linnehan|1999-09-16|allistumler|astumler||United States
Q114111654|Agostina Pelozo|1999-11-19|agospelozo|agospelozo||Argentina
Q114606171|Megawati Hangestri Pertiwi|1999-09-20|megawatihangestrip|||Indonesia
Q114729954|Leketor Member-Meneh|1999-06-01|leketorofficial|||United States
Q115269749|Hilary Howe|1998-06-16|hilaryjjohnson|||Canada
Q116965067|Chloé Mayer|1997-07-28|chlomayer|||France
Q118316200|Mediol Yoku|1999-01-09|mediolstiovanny|||Indonesia
Q120002714|Josephine Suhr|1997-03-20|_jsuhr|||Germany
Q120015400|Lena Kindermann|1999-07-27|lena.kindermann|||Germany
Q120636764|Milica Tasić|1999-12-24|milicatasic12|||
Q124393465|Ema Magdinová|1999-01-04|emamagdinova|||Slovakia
Q124556352|Yossiana Coughlin|1999-04-15|yossiana22_|||United States
Q124695240|Katarína Körmendyová|1999-04-25|k_kormendy|||Slovakia
Q124735910|Zuzana Šepeľová|1999-11-24|zuzkasepi|||Slovakia
Q125171642|Giovanna Milana|1998-06-13|gia__day|||United States
Q125542504|Esmeralda Sánchez|1998-09-01|esmeraldasm21|||Peru
Q125662671|Marianna Mpelia|1998-10-24|marianna_mpelia|||Greece
Q126083787|Taylor Mims|1997-08-15|taylormims|||United States
Q126291879|Shannon Scully|1999-03-03|shaannonscully|||United States
Q126454821|Esther Spöler|1998-07-12|esther_spoeler|||Germany
Q126599974|Büşra Güneş|1997-08-08|busrasahin.13|||Turkey
Q127331487|Ysabella Sánchez|1999-07-02|ysasanchez_|||Peru
Q130736834|Yina Liu|1997-07-31|yinaliiu|||Germany
Q131824632|Marlie Monserez|1999-11-23|marliemonz|marliemonz||United States
Q133273228|Lucia Sedláčková|1999-06-07|cu_ca_12|||Slovakia
Q135050561|Regan Pittman|1998-03-18|reganpittman|||United States
Q135917916|Jenny Mosser|1998-10-10|jenny_mosser|||United States
Q136303767|Carly Skjodt|1997-06-21|carlyskjodt|||United States
Q136418733|Sophie Nestler|1997-12-03|sophie.nstlr|||Germany
Q136652722|Meegan Hart|1999-04-13|meegan.hart|||United States
Q137535060|Zoe Liedtke|1999-05-14|zoe_liee_|||Germany
Q138411774|Miriama Balberčáková|1997-10-23|miriama_bl|||Slovakia
Q138426734|Erika Rešutíková|1996-02-06|erareso|||Slovakia
Q138455853|Ema Palkovičová|1999-08-16|_emapalko|||Slovakia
Q138527589|Kelsey O'Neill|1996-03-26|kels_oneill|||United States
Q138982573|Frederika Pažická|1998-03-21|fedullla|||Slovakia
Q138983508|Haley Templeton|1996-01-02||templetonhaley||United States
Q139029393|Emma Erteltová|1999-05-31|emmaerteltova|||Slovakia
Q139177966|Abby Spratt|1998-10-21|abbyspratt_|||Canada
Q139410612|Lia Mosher|1999-11-19|lia_the_lobster|||United States
Q139473637|Elísabet Einarsdóttir|1998-09-19|elisabeteinars98|||Iceland
