# Session 13 pass 2 — discovery pool B1: female volleyball players (occupation Q15117302), sex female (Q6581072),
# birth year 1996-1999, with at least one public handle among Instagram (P2003) / X (P2002) / TikTok (P7085).
# Query archived at data/research/urls/poolB1.url; executed 2026-09-06. Rows transcribed verbatim (markdown
# backslash escapes removed). Duplicate Q-IDs appear where the item lists two citizenships; the Q58885490 pair
# carries two DIFFERENT dates of birth (1996-07-09 vs 1996-09-07) and is treated as a conflict, not merged.
# columns: qid|name|dob|instagram|x|tiktok|country
Q2944591|Shiamara Almeida|1996-02-19||shiamaraalmeida||Peru
Q5761041|Hilary Palma|1997-01-05||HilaryP05||Peru
Q9179115|Brayelin Martínez|1996-09-11|_bem20|||Dominican Republic
Q13430870|Sarina Koga|1996-05-21|sarina.koga|VSarina11||Japan
Q15992031|Wiebke Silge|1996-07-16|wiebkesilge|||Germany
Q16146392|Hande Baladın|1997-09-01|handebaladin|handebaladin||Turkey
Q16240175|Sasha Meneghel|1998-07-28|sashameneghel||sashameneghel|Brazil
Q16535532|Cansu Özbay|1996-10-17|ozbaycansu|||Turkey
Q16548614|Gaila González|1997-06-25|gailaglez_|||Dominican Republic
Q16563235|Jineiry Martínez|1997-12-03|jineirym21|||Dominican Republic
Q16576515|Michaela Mlejnková|1996-07-26|misamlejnkova|||Czech Republic
Q16678123|Su Niziplioğlu|1996-03-25|suzentt|||Turkey
Q17413110|Sabina Altynbekova|1996-11-05|altynbekova_20|||Kazakhstan
Q17497098|Anthí Vasilantonáki|1996-04-09|anthivsl|||Greece
Q18163117|Tijana Bošković|1997-03-08|coti_18|||Serbia
Q18416033|Alice Degradi|1996-04-10|alice.degradi|||Italy
Q18605676|Lee Jae-yeong|1996-10-15|leejaeyeong17|||South Korea
Q18612953|Sophie Dreblow|1998-07-09|sophie_dreblow|||Germany
Q18697706|Lee Da-yeong|1996-10-15|leeeee_ou|||South Korea
Q19663637|Julie Rogers|1998-11-02|julieerogerss|JulieeRogerss||United Kingdom
Q20644904|Britt Bongaerts|1996-11-03|brittbongaerts|||Kingdom of the Netherlands
Q20853404|Melissa Vargas|1999-10-16|abreusmelisavargas|||Cuba
Q20961844|Karolina Goliat|1996-10-25|karolinagoliat|||Belgium
Q20987638|Nicole Oude Luttikhuis|1997-12-26|nicole.oudeluttikhuis|||Kingdom of the Netherlands
Q21103803|Anna Lazareva|1997-01-31|lazareva97|||Russia
Q21622971|Dominika Strumilo|1996-12-26|dominikastrumilo|||Belgium
Q22049086|Paola Egonu|1998-12-18|paolaegonu|||Italy
Q22069374|Anna Danesi|1996-04-20|annadanesi|||Italy
Q22069507|Alessia Orro|1998-07-18|alessiaorro8|||Italy
Q22125184|Airi Miyabe|1998-07-29|airi_miyabe|||Japan
Q22338719|Isabelle Haak|1999-07-11|isabellehaakofficial|||Sweden
Q22956861|Vedrana Jakšetić|1996-09-17|vedranajaksetic|||Croatia
Q22957124|Marie Schölzel|1997-08-01|marie_schoelzel|||Germany
Q22957207|Celine Van Gestel|1997-11-07|celinevangestel|||Belgium
Q25826523|Martyna Łukasik|1999-11-26|martynalukasik|||Poland
Q26207577|Nada Meawad|1998-04-12|nadameawad4|||Egypt
Q26210988|Nika Daalderop|1998-11-29|nikadaalderop|||Kingdom of the Netherlands
Q26444255|Gong Xiangyu|1997-04-21|gongxiangyu1997|||People's Republic of China
Q27000660|Elisa Lohmann|1998-07-22|elisa_lohmann|||Germany
Q27267670|Carlotta Cambi|1996-05-28|charliecambi|||Italy
Q27688847|Annegret Hölzig|1997-05-29|annehoelzig|||Germany
Q27999256|Hanna Klimets|1998-03-04|anna.klimets_11|||Belarus
Q28062149|Sabrina Krause|1998-12-18|sabrikrause|||Germany
Q30902725|Natalia Murek|1999-09-08|nmurek|||Poland
Q31119130|Chara Papadopoulou|1996-12-09|hara__pap|||
Q35497577|Juliët Lohuis|1996-09-10|julietlohuis|||Kingdom of the Netherlands
Q37816890|Tīna Graudiņa|1998-03-09|graudinatina|||Latvia
Q37818086|Anastasija Samoilova|1997-01-19|anastasija.kravcenoka|||Latvia
Q42147770|Pia Kästner|1998-06-29|pia_kaestner|||Germany
Q42186690|Marrit Jasper|1996-02-28|marritjasper|||Kingdom of the Netherlands
Q42190985|Michelle Schwerdtner|1997-02-04|michi.schwerdtner|||Germany
Q42218334|Rica Maase|1999-11-22|ricamaase|||Germany
Q44193471|Vanessa Agbortabi|1998-12-04|vanessa.agbortabi|||Germany
Q46998467|Paula Reinisch|1998-10-07|paula_reinisch|||Germany
Q47542138|Kertu Laak|1998-02-21|ketshhh|||Estonia
Q48761958|Mai Irisawa|1999-06-02||mai_121162||Japan
Q48851405|Maria Stenzel|1998-11-25|_mstenzel|||Poland
Q48877733|Léa Soldner|1996-02-10|leasoldner|||France
Q48977782|Zehra Güneş|1999-07-07|zehragunes|guneszehraa||Turkey
Q49676047|Marlies Janssens|1997-06-04|marliesjanssens|||Belgium
Q49693626|Jodie Guilliams|1997-04-26|jodieguilliams|||Belgium
Q52083743|Kotona Hayashi|1999-11-13|nagi_k113|||Japan
Q52777148|Maja Storck|1998-10-08|mjaaxx|||Switzerland
Q52834371|Héléna Cazaute|1997-12-17|helenacazaute1|||France
Q55220989|Taylor Agost|1996-05-31|taylor_agost|||United States
Q55344692|Lucille Gicquel|1997-11-13|lucillegicquel|||France
Q55389774|Klaudia Alagierska|1996-01-02|alagierska.klaudia|||Poland
Q55392938|Olga Strantzali|1996-01-12|olgastrantzali|olgastrantzali||Greece
Q55727053|Kang So-hwi|1997-07-18|hwihwi_o.o|||South Korea
Q55728360|Kim Ju-hyang|1999-03-27|wswnfid|||South Korea
Q55734622|Ji Min-kyung|1998-03-16|zl_minkyeong1|||South Korea
Q56062470|Nina Stojiljković|1996-09-01|nina.stoj|nina_stoj||France
Q56062530|Elsa Descamps|1996-09-06|zazou6|elsadescamps||France
Q58885490|Rhamat Alhassan|1996-07-09|ra_montie|ra_montie||United States
Q58885490|Rhamat Alhassan|1996-09-07|ra_montie|ra_montie||United States
Q59100198|Simone Lee|1996-09-07|simone.a.lee|||United States
Q60841138|Jenna Rosenthal|1996-05-14|jenna.rosenthal|||United States
Q61719580|Lorenne Geraldo Teixeira|1996-01-08|lorenneteixeira|||Brazil
Q61745596|Margaux Bouzinac|1996-09-04||margauxbouzinac||France
Q62039745|Iliana Giannakopoulou|1996-08-31|iliana__giannakopoulou|||Greece
Q63034806|Jordyn Poulter|1997-07-31|jordyn_poulter|Jordyn_Poulter||United States
Q64173798|Laura de Zwart|1999-03-19|lauradezwartt|||Kingdom of the Netherlands
Q64331585|Jeon Sae-yan|1996-11-27|yaaaaaan_|||South Korea
Q64493581|Jordan Thompson|1997-05-05|jtomm19|jtomm19||United States
Q64740289|Cindy Marina|1998-07-18|cindymarinaa|||United States
Q64784047|Ranna Shiraiwa|1996-01-01|raaaaaan.0921|ST6_raaan||Japan
Q64784049|Hikaru Hoshika|1996-01-01||16hskhkrhikaruu||Japan
Q64784058|Sayo Masuda|1997-01-01||sayo19971007||Japan
Q65030881|Natália Araujo|1997-04-10|natharaujo_|||Brazil
Q65034789|Selin Yurtsever|1996-08-27||selinyurtsever||Turkey
Q65163214|Juliette Fidon-Lebleu|1996-10-28|juliettefidonlebleu|||France
Q65165823|Mercedesz Kantor|1998-09-08|mercikantor11|||Italy
Q65781968|Janset Cemre Erkul|1997-01-12||janseterkul||Turkey
Q66741693|Emily Maglio|1996-11-13|emilymaglio18|||Canada
Q66816269|Julie Lengweiler|1998-11-06|julielengweiler|||Switzerland
Q67080353|Michaela Španková|1999-08-01|michaellapall|||Slovakia
Q67089016|Skarleta Jančová|1997-01-16|kaja.jancova|||Slovakia
Q67175191|Sarah Abisourour|1999-05-09|sabisourour|SarahAbisourour||Morocco
Q67801076|Renate Bjerland|1999-06-11|renatebjerland|||Norway
