# qid|name|dob|ig|x|tt|countries|srcs|urls|wiki|teams|occs|sports|group  (session 16 master, collapsed by QID)
Q220079|Ai Ōtomo|1982-03-24|akimoto88|||Japan|||https://en.wikipedia.org/wiki/Ai_%C5%8Ctomo||Q15117302=volleyball player|Q1734=volleyball|intl
Q232666|Kerri Walsh Jennings|1978-08-15|kerrileewalsh|kerrileewalsh||United States|Encyclopædia Britannica Online||https://en.wikipedia.org/wiki/Kerri_Walsh_Jennings||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q233908|Saori Kimura|1986-08-19|saoriiiii819|||Japan|||https://en.wikipedia.org/wiki/Saori_Kimura||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q234659|Yoshie Takeshita|1978-03-18|takechanman0318|||Japan|Olympedia||https://en.wikipedia.org/wiki/Yoshie_Takeshita||Q15117302=volleyball player|Q1734=volleyball|intl
Q239905|Jaqueline Carvalho|1983-12-31|jaqueline|||Brazil|||https://en.wikipedia.org/wiki/Jaqueline_Carvalho||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q240235|Brankica Mihajlović|1991-04-13|brankicam12|||Bosnia and Herzegovina;Serbia||https://tvf-web.dataproject.com/PlayerDetails.aspx?TeamID=74&PlayerID=1041&ID=17|https://en.wikipedia.org/wiki/Brankica_Mihajlovi%C4%87||||intl
Q242500|Erika Araki|1984-08-03|erika_araki_official|erichina11||Japan|||https://en.wikipedia.org/wiki/Erika_Araki||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q242799|Mireya Luis|1967-08-25|mireyaluishernandez|||Cuba||http://www.ecured.cu/Mireya_Luis|https://en.wikipedia.org/wiki/Mireya_Luis||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q248423|Robin de Kruijf|1991-05-05|robindekruijf|robino_|||||https://en.wikipedia.org/wiki/Robin_de_Kruijf||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q253253|Yekaterina Gamova|1980-10-17|ekaterinagamova11|||Russia;Soviet Union|||https://en.wikipedia.org/wiki/Yekaterina_Gamova||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q257740|Yuko Sano|1979-07-26|yuko12345|||Japan|||https://en.wikipedia.org/wiki/Y%C5%ABko_Sano||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q262883|Thaísa Menezes|1987-05-15|daherthaisa|||Brazil|||https://en.wikipedia.org/wiki/Tha%C3%ADsa_Daher_de_Menezes||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q262887|Kaori Inoue|1982-10-21|kaorin888|888kaorin||Japan|Olympedia||https://en.wikipedia.org/wiki/Kaori_Inoue||Q15117302=volleyball player|Q1734=volleyball|intl
Q263886|Natalie Cook|1975-01-19||NatCookVB||Australia|Who's Who in Australia||https://en.wikipedia.org/wiki/Natalie_Cook||Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q268846|Fernanda Garay|1986-05-10|fegaray|||Brazil|||https://en.wikipedia.org/wiki/Fernanda_Garay||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q269725|Yukiko Ebata|1989-11-07|ebatayukiko14|||Japan|||https://en.wikipedia.org/wiki/Yukiko_Ebata||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q269730|Saori Sakoda|1987-12-18|saori.rio|||Japan|||https://en.wikipedia.org/wiki/Saori_Sakoda||Q15117302=volleyball player|Q1734=volleyball|intl
Q269766|Foluke Akinradewo|1987-10-05|folukea|||Canada;Nigeria;United States|Olympedia||https://en.wikipedia.org/wiki/Foluke_Gunderson|Stanford Cardinal women's volleyball;United States women's national volleyball team|Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q270135|Kim Yeon-Koung|1988-02-26|kimyk10|kimyk10||South Korea|||https://en.wikipedia.org/wiki/Kim_Yeon-koung||Q15117302=volleyball player||intl
Q271694|Anna Werblińska|1984-05-14|ania_werblinska|||Poland|||https://en.wikipedia.org/wiki/Anna_Werbli%C5%84ska||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q272807|Yevgeniya Startseva|1989-02-12|startseva13|startseva13_|||||https://en.wikipedia.org/wiki/Yevgeniya_Startseva||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q272825|Tatiana Kosheleva|1988-12-23|kosheleva11|||Russia|||https://en.wikipedia.org/wiki/Tatiana_Kosheleva||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q274375|Natália Pereira|1989-04-04|natizilio12|||Brazil|||https://en.wikipedia.org/wiki/Nat%C3%A1lia_Pereira||Q15117302=volleyball player|Q1734=volleyball|intl
Q274418|Tandara Caixeta|1988-10-30|tandaracaixeta|||Brazil|||https://en.wikipedia.org/wiki/Tandara_Caixeta||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q274425|Jordan Larson|1986-10-16|gov1007|JordanLarson10||United States|Lega Pallavolo Serie A Femminile||https://en.wikipedia.org/wiki/Jordan_Larson|Nebraska Cornhuskers women's volleyball;United States women's national volleyball team|Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q274457|Nicole Davis|1982-04-24|nicolemdavis6|||United States|Olympedia;Volleybox||https://en.wikipedia.org/wiki/Nicole_Davis|USC Trojans women's volleyball;United States women's national volleyball team|Q15117302=volleyball player|Q1734=volleyball|ncaa
Q275144|Maiko Kano|1988-07-15|kanochan715|kanochan715||Japan|||https://en.wikipedia.org/wiki/Maiko_Kano||Q15117302=volleyball player|Q1734=volleyball|intl
Q288812|Marija Pucarević|1990-08-20|pucareviceva|||Serbia|FIVB database;VBL database;Volleybox;WorldofVolley||||Q15117302=volleyball player|Q1734=volleyball|intl
Q378473|Marta Menegatti|1990-08-16|marta_menegatti|||Italy|||https://en.wikipedia.org/wiki/Marta_Menegatti||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q432213|Ceyda Aktaş|1994-08-18|ceydaaktas|CeydaAktas||Turkey||http://www.worldofvolley.com/wov-community/players/6567.html|https://en.wikipedia.org/wiki/Ceyda_Akta%C5%9F||Q15117302=volleyball player|Q1734=volleyball|intl
Q439612|Laura Dijkema|1990-02-18|lauradijkema|||Kingdom of the Netherlands|||https://en.wikipedia.org/wiki/Laura_Dijkema||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q441141|April Ross|1982-06-20|aprilrossbeach|AprilRossBeach||United States|||https://en.wikipedia.org/wiki/April_Ross|USC Trojans women's volleyball|Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q447779|Suzana Ćebić|1984-11-09|suzana_cebic|||Serbia|||https://en.wikipedia.org/wiki/Suzana_%C4%86ebi%C4%87||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q458463|Leila Barros|1971-09-30|leiladovolei|leiladovolei||Brazil||https://www25.senado.leg.br/web/senadores/senador/-/perfil/5979|https://en.wikipedia.org/wiki/Leila_Barros||Q15117302=volleyball player;Q17361156=beach volleyball player;Q82955=politician|Q4543=beach volleyball|beach
Q463578|Regla Torres|1975-02-12|reglavoly|||Cuba||https://www.ecured.cu/Regla_Torres|https://en.wikipedia.org/wiki/Regla_Torres||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q467597|Marleen van Iersel|1988-01-07|marleenvaniersel|MarleenvIersel||Kingdom of the Netherlands|||https://en.wikipedia.org/wiki/Marleen_van_Iersel||Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q483736|Han Yoo-mi|1982-02-05||hym82vo||South Korea|||https://en.wikipedia.org/wiki/Han_Yoo-mi||Q15117302=volleyball player|Q1734=volleyball|intl
Q483742|Kim Sa-nee|1981-06-21|saneekim|||South Korea|||https://en.wikipedia.org/wiki/Kim_Sa-nee||Q15117302=volleyball player|Q1734=volleyball|intl
Q484138|Yang Hyo-jin|1989-12-14|hjyang14v|||South Korea|||https://en.wikipedia.org/wiki/Yang_Hyo-jin||Q15117302=volleyball player|Q1734=volleyball|intl
Q513248|Markéta Sluková|1988-06-28|beach_maki|||Czech Republic|Olympedia||https://en.wikipedia.org/wiki/Mark%C3%A9ta_Slukov%C3%A1||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q513552|Femke Stoltenborg|1991-07-30|femkestoltenborg|||Kingdom of the Netherlands|Olympedia|http://worldgrandprix.2017.fivb.com/en/group1/competition/teams/ned-netherlands/players/femke-stoltenborg?id=58000|https://en.wikipedia.org/wiki/Femke_Stoltenborg||Q15117302=volleyball player|Q1734=volleyball|intl
Q513594|Myrthe Schoot|1988-08-29|myrtheschoot|MyrtheSchoot||Kingdom of the Netherlands|FIVB database;Olympedia;VBL database;Volleybox||https://en.wikipedia.org/wiki/Myrthe_Schoot||Q15117302=volleyball player|Q1734=volleyball|intl
Q514610|Madelein Meppelink|1989-11-29|m_meppelink|M_Meppelink||Kingdom of the Netherlands|||https://en.wikipedia.org/wiki/Madelein_Meppelink||Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q515646|Liliana Fernández|1987-01-04|liliana.fernandez.steiner|||Spain|||https://en.wikipedia.org/wiki/Liliana_Fern%C3%A1ndez||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q539226|Angie Bland|1984-04-26|abland84|||Belgium|||https://en.wikipedia.org/wiki/Angie_Bland||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q546910|Gabrielle Reece|1970-01-06|gabbyreece|||United States|IMDb||https://en.wikipedia.org/wiki/Gabrielle_Reece|Florida State Seminoles women's volleyball|Q17361156=beach volleyball player;Q33999=actor;Q4610556=model|Q4543=beach volleyball|beach
Q562974|Anna Pogany|1994-07-21|annapogany|||Germany|VBL database||||Q15117302=volleyball player|Q1734=volleyball|intl
Q568237|Anouk Vergé-Dépré|1992-02-11|anoukvergedepre|anoukvergedepre||Switzerland||https://www.rio2016.com/en/athlete/anouk-verge-depre|https://en.wikipedia.org/wiki/Anouk_Verg%C3%A9-D%C3%A9pr%C3%A9||Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q600561|Miyuki Takahashi|1978-12-25|shin_miyukichi|||Japan|||https://en.wikipedia.org/wiki/Miyuki_Takahashi_(volleyball)||Q15117302=volleyball player;Q17361156=beach volleyball player;Q2705098=tarento|Q1734=volleyball|beach
Q608269|Debby Stam|1984-07-24|debby_stam|||Kingdom of the Netherlands|||https://en.wikipedia.org/wiki/Debby_Stam||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q624724|Kim Hee-jin|1991-04-29|geurujam_|||South Korea|||https://en.wikipedia.org/wiki/Kim_Hee-jin||Q15117302=volleyball player|Q1734=volleyball|intl
Q659237|Cristina Pîrv|1972-06-29|pirv11oficial|pirv11oficial||Brazil;Romania|||https://en.wikipedia.org/wiki/Cristina_P%C3%AErv||Q15117302=volleyball player|Q1734=volleyball|intl
Q751211|Natalia Mędrzyk|1992-01-13|natalia_medrzyk|||Poland||http://www.worldofvolley.com/wov-community/players/3974.html|https://en.wikipedia.org/wiki/Natalia_M%C4%99drzyk||Q15117302=volleyball player|Q1734=volleyball|intl
Q765751|Alix Klineman|1989-12-30|alixklineman|alixklineman||United States|||https://en.wikipedia.org/wiki/Alix_Klineman|United States women's national under-19 volleyball team;United States women's national volleyball team|Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q807607|Barbara Wezorke|1993-04-12|nobacon.barb|||Germany|VBL database||||Q15117302=volleyball player|Q1734=volleyball|intl
Q807859|Barbora Hermannová|1990-11-07|bara.hermannova|||Czech Republic|Olympedia|https://www.olympic.cz/sportovec/4332--barbora-hermannova|https://en.wikipedia.org/wiki/Barbora_Hermannov%C3%A1||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q841393|Motoko Obayashi|1967-06-15|m.oobayashi|motoko_pink||Japan|||https://en.wikipedia.org/wiki/Motoko_Obayashi||Q15117302=volleyball player;Q2705098=tarento;Q33999=actor|Q1734=volleyball|intl
Q938434|Bahar Toksoy|1988-02-06||bhrtksy||Turkey|||https://en.wikipedia.org/wiki/Bahar_Toksoy||Q15117302=volleyball player|Q1734=volleyball|intl
Q946914|Valentina Diouf|1993-01-10|durbansmile|||Italy|Lega Pallavolo Serie A Femminile||https://en.wikipedia.org/wiki/Valentina_Diouf||Q15117302=volleyball player|Q1734=volleyball|intl
Q967009|Monica De Gennaro|1987-01-08|mokidegennaroofficial|||Italy|||https://en.wikipedia.org/wiki/Monica_De_Gennaro||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q998363|Merita Mol|1969-02-24|merita_mol|||Norway||http://www.bvbinfo.com/player.asp?ID=1473|https://en.wikipedia.org/wiki/Merita_Berntsen|UC Santa Barbara Gauchos women's volleyball|Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q1044420|Carolina Solberg|1987-08-06|carol_solberg|||Brazil|||https://en.wikipedia.org/wiki/Carolina_Solberg_Salgado||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q1049946|Kana Oyama|1984-06-19|kanaoyama0619|kanakanabun||Japan|||https://en.wikipedia.org/wiki/Kana_Oyama||Q15117302=volleyball player|Q4543=beach volleyball|beach
Q1059562|Nana Iwasaka|1990-07-03|nana.iwasaka|hiswmstk7||Japan|||https://en.wikipedia.org/wiki/Nana_Iwasaka||Q15117302=volleyball player|Q1734=volleyball|intl
Q1059930|Kotoe Inoue|1990-02-15|kotoe.i15|kotoe15||Japan|||https://en.wikipedia.org/wiki/Kotoe_Inoue||Q15117302=volleyball player|Q1734=volleyball|intl
Q1062408|Chantal Laboureur|1990-01-04|chantallaboureur|||Germany|DOSB database;FIVB database;VBL database||https://en.wikipedia.org/wiki/Chantal_Laboureur||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q1072824|Bethania de la Cruz|1987-05-13|thebigbeth|||Dominican Republic||https://en.volleyballworld.com/volleyball/competitions/women-worldchampionship-2022/players/114294|https://en.wikipedia.org/wiki/Bethania_de_la_Cruz|Athletes Unlimited Volleyball|Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q1073217|Áurea Cruz|1982-01-10|azcruz|||United States|||https://en.wikipedia.org/wiki/%C3%81urea_Cruz|Florida Gators women's volleyball|Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q1091406|Ciara Michel|1985-07-02|vb_ci|vb_ci||United Kingdom||http://www.worldofvolley.com/wov-community/players/15889.html|https://en.wikipedia.org/wiki/Ciara_Michel||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q1092521|Cinja Tillmann|1991-07-13|cinjatillmann|||Germany|||https://en.wikipedia.org/wiki/Cinja_Tillmann||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q1187767|Denise Imoudu|1995-12-14|deniseimoudu|||Germany|VBL database||||Q15117302=volleyball player|Q1734=volleyball|intl
Q1327901|Magdalena Gryka|1994-03-28|magdagryka|||Germany;Poland||https://www.volleyball-bundesliga.de/popup/teamMember/teamMemberDetails.xhtml?teamMemberId=743143591&hideHistoryBackButton=true|||Q15117302=volleyball player|Q1734=volleyball|intl
Q1393560|Nana Meriwether|1985-05-24|nanameriwether|||South Africa;United States|||https://en.wikipedia.org/wiki/Nana_Meriwether||Q15117302=volleyball player;Q18581305=beauty pageant contestant;Q4610556=model|Q1734=volleyball|intl
Q1469069|Sarah Pavan|1986-08-16|sarah_pavan|SarahPavan||Canada||http://www.bvbinfo.com/player.asp?ID=14304|https://en.wikipedia.org/wiki/Sarah_Pavan|Nebraska Cornhuskers women's volleyball|Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q1537222|Nele Barber|1994-10-27|nelebarber|||Germany||https://www.volleyball.world/en/vnl/2019/women/teams/ger-germany/players/nele-barber?id=71226|||Q15117302=volleyball player|Q1734=volleyball|intl
Q1571662|Carmen Turlea|1975-11-18||CarmenTurlea||Italy;Romania|||https://en.wikipedia.org/wiki/Carmen_%C8%9Aurlea||Q15117302=volleyball player|Q1734=volleyball|intl
Q1645601|Helena Grozer|1988-07-25|helenahavelkova16|||Czech Republic|iDNES.cz|https://sport.idnes.cz/volejbal.aspx?y=vol_reprez/mistrovstvi-evropy-volejbalistek-2009-cesky-tym.htm|https://en.wikipedia.org/wiki/Helena_Grozer||Q15117302=volleyball player|Q1734=volleyball|intl
Q1682257|Winifer Fernández|1995-01-06|winiferofficial|||Dominican Republic||http://www.worldofvolley.com/wov-community/players/16759.html|https://en.wikipedia.org/wiki/Winifer_Fern%C3%A1ndez||Q15117302=volleyball player|Q1734=volleyball|intl
Q1686941|Jennifer Janiska|1994-04-05|jjaniska_6|||Germany|VBL database|http://www.volleyball-verband.de/de/kader/nationalmannschaft--a-frauen-/spielerinnen--amp--trainer/jennifer-geerties/|https://en.wikipedia.org/wiki/Jennifer_Janiska||Q15117302=volleyball player|Q1734=volleyball|intl
Q1711835|Julia Eckelmann|1995-03-30|julaeckelmann|||Germany|VBL database;Volleybox||||Q15117302=volleyball player;Q20730881=volleyball coach|Q1734=volleyball|intl
Q1748245|Caterina Bosetti|1994-02-02|caterinabosetti|||Italy|Lega Pallavolo Serie A Femminile||https://en.wikipedia.org/wiki/Caterina_Bosetti||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q1749385|Christina Bauer|1988-01-01||BauerChristina1||France|||https://en.wikipedia.org/wiki/Christina_Bauer||Q15117302=volleyball player|Q1734=volleyball|intl
Q1750649|Lauren Bertolacci|1985-01-26|laurenberto|||Australia||http://www.worldofvolley.com/wov-community/players/139167.html;http://www.worldofvolley.com/wov-community/players/7711.html|https://en.wikipedia.org/wiki/Lauren_Bertolacci||Q15117302=volleyball player;Q20730881=volleyball coach|Q1734=volleyball|intl
Q1773781|Alisha Glass|1988-04-05|aglass1_6|||United States|Lega Pallavolo Serie A Femminile||https://en.wikipedia.org/wiki/Alisha_Glass|Athletes Unlimited Volleyball;Penn State Nittany Lions women's volleyball;United States women's national volleyball team|Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q1788707|Tanja Großer|1993-11-27|tanja_g._4|||Germany|||||Q15117302=volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q1817348|Lena Stigrot|1994-12-20|lenastigrot|||Germany||https://www.volleyball-verband.de/de/kader/nationalmannschaft--a-frauen-/spielerinnen--amp--trainer/lena-stigrot/|https://en.wikipedia.org/wiki/Lena_Stigrot||Q15117302=volleyball player|Q1734=volleyball|intl
Q1944732|Monika Paulikienė|1994-08-30|monikapovilaityte|||Lithuania|||https://en.wikipedia.org/wiki/Monika_Paulikien%C4%97||Q17361156=beach volleyball player|Q4543=beach volleyball|beach
Q1982651|Floortje Meijners|1987-01-16|floortjemeijners|||Kingdom of the Netherlands|||https://en.wikipedia.org/wiki/Floortje_Meijners||Q15117302=volleyball player|Q1734=volleyball|intl
Q1993409|Milena Rašić|1990-10-25|milena.rasic|milenarasic1||Serbia|Olympedia||https://en.wikipedia.org/wiki/Milena_Ra%C5%A1i%C4%87||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q2020124|Polina Rahimova|1990-06-05|polina_rahimova|||Azerbaijan;Ukraine|Lega Pallavolo Serie A Femminile||https://en.wikipedia.org/wiki/Polina_Rahimova||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q2221013|Sandra Ittlinger|1994-06-24|sandra_ittlinger||sandraittlinger|Germany|Beach Volleyball Database;WorldofVolley||||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q2263164|Heather Bown|1978-11-29||heather_e_bown||United States|||https://en.wikipedia.org/wiki/Heather_Bown|UC Santa Barbara Gauchos women's volleyball|Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q2330163|Neslihan Demir|1983-12-09|nesli177|||Turkey|Olympedia||https://en.wikipedia.org/wiki/Neslihan_Demir||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q2405216|Pelin Çelik|1982-05-23||pelinp||Turkey|||https://en.wikipedia.org/wiki/Pelin_%C3%87elik||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball|beach
Q2405220|Fernanda Venturini|1970-10-24|fernandaventurini_oficial|||Brazil||http://www.worldofvolley.com/wov-community/players/48713.html|https://en.wikipedia.org/wiki/Fernanda_Venturini||Q15117302=volleyball player|Q1734=volleyball|intl
Q2407430|Elif Ağca Yarar|1984-02-10|elfagca7|elf27||Turkey|||https://en.wikipedia.org/wiki/Elif_A%C4%9Fca_Yarar||Q15117302=volleyball player|Q1734=volleyball|intl
Q2420072|Megumi Kurihara|1984-07-31|megumi_kurihara_official|||Japan|||https://en.wikipedia.org/wiki/Megumi_Kurihara||Q15117302=volleyball player|Q1734=volleyball|intl
Q2422045|Meliha Diken|1993-09-17|_melly03|_melly3||Bosnia and Herzegovina;Turkey||http://www.bvbinfo.com/player.asp?ID=15023;http://www.worldofvolley.com/wov-community/players/13590.html|https://en.wikipedia.org/wiki/Meliha_%C4%B0smailo%C4%9Flu||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q2436029|Prisilla Rivera|1984-12-29|prisillarivera14|||Dominican Republic|||https://en.wikipedia.org/wiki/Prisilla_Rivera||Q15117302=volleyball player|Q1734=volleyball|intl
Q2436614|Milena Sadurek|1984-10-18|mila_sadurek|||Poland|||https://en.wikipedia.org/wiki/Milena_Radecka||Q15117302=volleyball player|Q1734=volleyball|intl
Q2437053|Lisvel Elisa Eve|1991-09-10|lisveleve3|||Dominican Republic|||https://en.wikipedia.org/wiki/Lisvel_Elisa_Eve||Q15117302=volleyball player|Q1734=volleyball|intl
Q2530775|Zeynep Sever|1989-07-09|zeynepseverdemirel|||Belgium;Turkey|Integrated Authority File;Karar Alhilli|https://www.karar.com/karar-biyografi/zeynep-sever-demirel-kimdir-kac-yasinda-nereli-ne-is-yapiyor-1612956|https://en.wikipedia.org/wiki/Zeynep_Sever||Q15117302=volleyball player;Q18581305=beauty pageant contestant|Q1734=volleyball|intl
Q2608891|Jelena Nikolić|1982-04-13|nikolica12|||Serbia|||https://en.wikipedia.org/wiki/Jelena_Nikoli%C4%87||Q15117302=volleyball player|Q1734=volleyball|intl
Q2610519|Naz Aydemir Akyol|1990-08-14|akyolnaz|nzydmr11||Turkey|Integrated Authority File;Olympedia;Volleybox;WorldofVolley||https://en.wikipedia.org/wiki/Naz_Aydemir||Q15117302=volleyball player;Q4853732=children's writer|Q1734=volleyball|intl
Q2610534|Eda Erdem|1987-06-22||edaerdem14||Turkey||http://www.cev.lu/competition-area/PlayerDetails.aspx?TeamID=7622&PlayerID=4436&ID=551;http://www.fivb.org/EN/Volleyball/Competitions/WorldChampionships/2010/Women/Players.asp?Tourn=WWCH2010&Team=TUR&No=115406|https://en.wikipedia.org/wiki/Eda_Erdem||Q15117302=volleyball player|Q1734=volleyball|intl
Q2610544|Seda Aslanyürek|1986-06-25|seda9|||Turkey|||https://en.wikipedia.org/wiki/Seda_Tokatl%C4%B1o%C4%9Flu||Q15117302=volleyball player|Q1734=volleyball|intl
Q2615426|Gabriela Pérez del Solar|1968-07-10|gabyperezdelsolar|||Peru|InterSportStats|https://infogob.jne.gob.pe/Politico/FichaPolitico/gabriela-lourdes-perez-del-solar-cuculiza_historial-partidario_nFClh9xN6ugc6+@0ElOxMA==C9|https://en.wikipedia.org/wiki/Gabriela_P%C3%A9rez_del_Solar||Q15117302=volleyball player;Q82955=politician|Q1734=volleyball|intl
Q2619475|Carol Gattaz|1981-07-27|carolgattaz|carolgattaz||Brazil||https://www.olimpiadatododia.com.br/atletas/volei-feminino/caroline-de-oliveira-saad-carol-gattaz-jogos-olimpicos-toquio-2020/|https://en.wikipedia.org/wiki/Carol_Gattaz||Q15117302=volleyball player|Q1734=volleyball|intl
