# qid|name|dob|ig|x|tt|countries|srcs|urls|wiki|teams|occs|sports|group  (session 16 master, collapsed by QID)
Q4578|Laura Ludwig|1986-01-13|lauraludwig86|||Germany|Brockhaus Enzyklopädie|http://www.bvbinfo.com/player.asp?ID=6704|https://en.wikipedia.org/wiki/Laura_Ludwig||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q31677|Natalia Málaga|1964-01-26|natalia_malaga|||Peru|InterSportStats|https://peru21.pe/cultura/natalia-malaga-voleibolista-gran-chef-noticia/|https://en.wikipedia.org/wiki/Natalia_M%C3%A1laga||Q15117302=volleyball player;Q17361156=beach volleyball player;Q20730881=volleyball coach|Q1734=volleyball;Q4543=beach volleyball|beach
Q85016|Lenka Dürr|1990-12-10|lenkalibera_official|||Germany|VBL database||https://en.wikipedia.org/wiki/Lenka_D%C3%BCrr||Q15117302=volleyball player|Q1734=volleyball|intl
Q108414|Laura Weihenmaier|1991-04-04|lemon_ts17|||Germany|VBL database||https://en.wikipedia.org/wiki/Laura_Weihenmaier||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q109939|Pia Walkenhorst|1993-11-15|piasabrinawalkenhorst|||Germany|FIVB database;VBL database;Volleybox||https://en.wikipedia.org/wiki/Pia_Walkenhorst||Q15117302=volleyball player|Q1734=volleyball|intl
Q109966|Sandra Ferger|1991-08-14|sandra.ferger|||Germany|Beach Volleyball Database;VBL database;Volleybox||||Q15117302=volleyball player;Q17361156=beach volleyball player|Q1734=volleyball;Q4543=beach volleyball|beach
Q110368|Mareike Hindriksen|1987-11-11|mareikehindriksen|||Germany|CEV database;FIVB database;VBL database;Volleybox||||Q15117302=volleyball player;Q20730881=volleyball coach|Q1734=volleyball|intl
Q111857|Jana Franziska Poll|1988-05-07|jfpti|||Germany||http://www.volleyball-verband.de/de/kader/nationalmannschaft--a-frauen-/spielerinnen--amp--trainer/jana-franziska-poll/|https://en.wikipedia.org/wiki/Jana_Franziska_Poll||Q15117302=volleyball player|Q1734=volleyball|intl
Q115012|Tereza Fajksová|1989-05-17|terinkafajks|||Czech Republic|iDNES.cz|https://www.idnes.cz/wiki/soubyznys/tereza-fajksova.K450100|https://en.wikipedia.org/wiki/Tereza_Fajksov%C3%A1||Q15117302=volleyball player;Q18581305=beauty pageant contestant;Q4610556=model|Q1734=volleyball|intl
Q130814|Francesca Piccinini|1979-01-10|francescapiccinini12|||Italy|||https://en.wikipedia.org/wiki/Francesca_Piccinini||Q15117302=volleyball player|Q1734=volleyball|intl
Q182106|Misty May-Treanor|1977-07-30||MistyMayTreanor||United States|Encyclopædia Britannica Online;IMDb||https://en.wikipedia.org/wiki/Misty_May-Treanor|Long Beach State Beach women's volleyball;United States women's national volleyball team|Q15117302=volleyball player;Q17361156=beach volleyball player|Q4543=beach volleyball|beach
