# Session 19 fashion/fitness-model continuation (2026-09-07). Wikidata P106 sweep OFFSET 250–400 + influencer P854.
# qid|name|dob|ig|tt|occ|refUrl|wiki
# Queries: data/research/urls/s18_prom_off{250,300,350,400}.url and s18_inf_off0.url
Q109332203|Sujita Basnet|1993-01-01|jitabasnet||model||https://en.wikipedia.org/wiki/Sujita_Basnet
Q109332293|Gigi De Lana|1995-09-24|gigidelanaofficial||model||https://en.wikipedia.org/wiki/Gigi_de_Lana
Q109379340|Frida Sofía|1992-03-13|ifridag||fashion model||https://en.wikipedia.org/wiki/Frida_Sofía
Q109406168|Anastasiya Krasovskaya|1999-01-02|nastitasti||fashion model||https://en.wikipedia.org/wiki/Anastasiya_Krasovskaya
Q109430713|Nandita Banna|2000-11-08|nxndita||model||https://en.wikipedia.org/wiki/Nandita_Banna
Q109430886|Greesella Adhalia|2006-01-10|jkt48.greesel|greeseljkt48|model|https://jkt48.com/member/detail/id/271?lang=id|
Q109442180|Nguyễn Thúc Thùy Tiên|1998-08-12|tienng12|missgrand2021.thuytien|model||https://en.wikipedia.org/wiki/Nguyễn_Thúc_Thùy_Tiên
Q109452309|Nguyễn Quỳnh Anh|1999-11-14|quynhanh.ng99||model||https://en.wikipedia.org/wiki/Nguyễn_Quỳnh_Anh
Q109467096|Luciana Fuster|1999-01-14|lucianafusterg|lucianafusterg_|model|https://larepublica.pe/espectaculos/farandula/2022/07/30/luciana-fuster-que-estudio-y-como-era-antes-de-ser-una-chica-reality-esto-es-guerra-patricio-parodi-television-modelo-carrera-universitaria-atmp-ntlr|https://en.wikipedia.org/wiki/Luciana_Fuster
Q109468719|Brenda Smith Lezama|1994-05-25|brendasmithlezama||model||https://en.wikipedia.org/wiki/Brenda_Smith_(model)
Q10948640|Hina Khan|1987-10-02|realhinakhan||model||https://en.wikipedia.org/wiki/Hina_Khan
Q109491912|Elifcan Ongurlar|1993-06-07|elifcanongurlar||model|https://www.csfd.cz/tvurce/88857/|
Q109542818|Teresa Santos|1998-06-09|teresabsantos||model|http://tiooda.com.br/index.php/noticias-do-dia/abril-de-2014/10548-miss-brasil/9281-a-miss-brasil-2021-e-uma-cearense-de-fortaleza|https://en.wikipedia.org/wiki/Teresa_Santos
Q109555175|Muskan Bamne|1999-09-10|muskanbamne||model||https://en.wikipedia.org/wiki/Muskan_Bamne
Q109584767|Azusa Reika|2000-05-19|reika_azusa||model|https://ena-group.jp/talent/AzusaReika|
Q109593006|Jessica Alexander|1999-06-19|jessalxander||model|https://www.adorocinema.com/personalidades/personalidade-119541/|https://en.wikipedia.org/wiki/Jessica_Alexander
