# Session 18 fashion/fitness-model pool (2026-09-07). Wikidata P106 sweep.
# qid|name|dob|ig|tt|occ|refUrl|wiki
# Source queries: data/research/urls/s18_prom_off{0,50,100,150,200}.url
# Handles/DOBs/URLs transcribed from SPARQL TSV (markdown escapes removed). Nothing estimated.
Q100249843|Sita Abellán|1993-03-27|sitabellan||model||https://en.wikipedia.org/wiki/Sita_Abellán
Q100308188|Stella Belmondo|2003-08-13|stellabelmondo||model|https://www.programme-tv.net/biographie/260660-belmondo-stella/|
Q100318|Lara-Isabelle Rentinck|1986-08-18|laraisabellerentinck||model||https://en.wikipedia.org/wiki/Lara-Isabelle_Rentinck
Q100329044|Abril Montilla|2000-10-03|abrilmontilla_||model||https://en.wikipedia.org/wiki/Abril_Montilla
Q1004398|Asumi Nakada|1988-04-05|asumi.nakada||fashion model||https://en.wikipedia.org/wiki/Asumi_Nakada
Q100587672|Fatou Samba|1995-03-25|b_fatou_s||model||https://en.wikipedia.org/wiki/Fatou_Samba
Q100768091|Elísabet Hulda Snorradóttir|1998-12-03|elisabet_hulda||model||https://en.wikipedia.org/wiki/Elísabet_Hulda_Snorradóttir
Q100791874|Shudufhadzo Musida|1996-07-18|shudufhadzomusida||model||https://en.wikipedia.org/wiki/Shudufhadzo_Musida
Q100805871|Rabiya Mateo|1996-11-14|rabiyamateo||model||https://en.wikipedia.org/wiki/Rabiya_Mateo
Q100906570|Nova Stevens|1993-05-25|thenovastevens||model||https://en.wikipedia.org/wiki/Nova_Stevens
Q101130426|Stephany Zreik|1995-12-25|stefyzreik||model||https://en.wikipedia.org/wiki/Stephany_Zreik
Q101137091|Laci Mosley|1991-07-04|divalaci||model||https://en.wikipedia.org/wiki/Laci_Mosley
Q101220338|Lindsey Coffey|1992-01-08|lindseymariecoffey||model||https://en.wikipedia.org/wiki/Lindsey_Coffey
Q101506175|Jade Cargill|1992-06-03|ms_cargill||fitness model||https://en.wikipedia.org/wiki/Jade_Cargill
Q101552918|Estefanía Soto|1993-04-27|estefania.sototorres||model||https://en.wikipedia.org/wiki/Estefanía_Soto
Q101580018|Yvonne Chapman|1988-10-07|ypchapman||model||https://en.wikipedia.org/wiki/Yvonne_Chapman_(actress)
Q101807505|Aya Samaha|1992-03-31|ayahsamaha|ayahsamaha.cs|fashion model||https://en.wikipedia.org/wiki/Aya_Samaha
Q102042801|Ruby Rose Turner|2005-10-16|rubyroseturner|rubyroseturner|model|https://www.famousbirthdays.com/people/ruby-turner-dancer.html|https://en.wikipedia.org/wiki/Ruby_Rose_Turner
Q102045767|Nunu Khumalo|1992-04-15|nunukhumalo||model||https://en.wikipedia.org/wiki/Nunu_Khumalo
Q102082210|Laura Olascuaga|1995-07-19|lauraolascuaga||model||https://en.wikipedia.org/wiki/Laura_Olascuaga
Q102155410|Đỗ Thị Hà|2001-07-20|doha.hhvn||model||https://en.wikipedia.org/wiki/Đỗ_Hà
Q102279832|Margarida Corceiro|2002-10-26|magui_corceiro|magui.corceiro|model||https://en.wikipedia.org/wiki/Margarida_Corceiro
Q102429561|Daniela Nicolás|1992-06-26|danielanicolas||model||https://en.wikipedia.org/wiki/Daniela_Nicolás
