# qid	name	pools	new-or-backlog
Q104217167	İlkin Aydın	D	new
Q105706252	Lee Won-jeong	D	new
Q108110570	Hinata Shigihara	D	new
Q108771081	Juliette Gelin	DF	new
Q111696564	Andréa Mimosette Moussol	D	new
Q112898157	Key Alves	D	new
Q134029261	Jimena Fernández Gayoso	DF	new
Q56250371	Bianca Farriol	DF	new
Q56635650	Sarah Fahr	D	new
Q59705403	Delfina Villar	DF	new
Q76875007	Elena Kömmling	D	new
Q97901120	Minami Nishimura	DF	new
Q135182077	Abby Schaefer	E	new
Q135182727	Izzi Szulczewski	E	new
Q135191426	Andrea Koraca	E	new
Q135192961	Ana Ištuk	E	new
Q27917939	Miku Nakashima	E	new
Q29017817	Risa Watanabe	EE	new
Q43425187	Shiori Aratani	E	new
Q43425235	Ai Kurogo	E	new
Q43425243	Erina Ogawa	E	new
Q50286750	Yuki Hyōdō	E	new
Q54867512	Nao Kosaka	E	new
Q95560296	Victoria Blair Rhemrev	E	new
Q98480727	Hono Tamura	E	new
Q110272655	Lizaveta Bahayeva	F	new
Q11371795	Azusa Futami	F	new
Q11562632	Akari Watanabe	F	new
Q11562701	Aya Watanabe	F	new
Q11564498	Sayaka Mizoe	F	new
Q11624744	Natsumi Fujita	F	new
Q13429212	Yūka Imamura	F	new
Q16735442	Keith Meneses	F	new
Q17303572	Carly Wopat	F	new
Q19688926	Mabel Olemar	F	new
Q20895315	Maya Jansen	F	new
Q21066565	Azra Kanović	F	new
Q22956738	Aziliz Divoux	F	new
Q2406238	Tess von Piekartz	F	new
Q275130	Risa Shinnabe	F	new
Q28071124	Kadie Rolfzen	F	new
Q2930192	Büşra Kılıçlı	F	new
Q2947193	Ceylan Arısan	F	new
Q3201215	Kübra Akman	F	new
Q43431630	Rei Kudō	F	new
Q439676	Lonneke Slöetjes	F	new
Q49090949	Ilaria Galbusera	F	new
Q55433254	Aylin Sarıoğlu	F	new
Q55531991	Maria Segura Pallerés	F	new
Q64784043	Nanami Wasai	F	new
Q64784045	Rina Hiratani	F	new
Q64784046	Natsumi Watabiki	F	new
Q64784053	Mayuka Shirasaki	F	new
Q64784054	Mizuki Minami	F	new
Q64784055	Yurika Yokoishi	F	new
Q64784056	Kozue Yukimaru	F	new
Q71678848	Mei Konishi	F	new
Q71717902	Rachel Cockrell	F	new
Q87659169	Brie O’Reilly	F	new
Q9065952	Raffaella Camet	F	new
Q9154518	Angélica Aquino	F	new
Q9310417	Riho Ōtake	F	new
Q9383422	Yeniffer Ramírez	F	new
Q963016	Freya Aelbrecht	F	new
Q97818975	Hazuki Nakamoto	F	new
Q97901057	Naoko Shimahata	F	new
Q97901079	Nao Tsuga	F	new
Q98082759	Shuna Ohmoto	F	new
Q98082853	Mioko Yabuta	F	new
Q98082868	Mayu Takada	F	new
